id,created_at,body,likes,post_id,author_id
1,2024-06-21 03:33:45,This is some awesome thinking!,3,242,105
2,2024-04-21 22:53:34,What terrific math skills you're showing!,4,46,183
3,2021-01-25 06:43:33,You are an amazing writer!,2,235,1
4,2023-06-14 17:36:03,Wow! You have improved so much!,1,31,89
5,2021-07-31 10:10:23,Nice idea!,1,212,149
6,2020-07-30 15:40:54,You are showing excellent understanding!,5,184,110
7,2024-06-11 13:42:03,"This is clear, concise, and complete!",1,172,4
8,2022-03-22 03:47:59,What a powerful argument!,0,233,145
9,2021-03-10 19:29:42,I knew you could do it!,3,207,207
10,2020-12-12 20:19:29,Wonderful ideas!,0,87,86
11,2020-11-14 15:55:18,It was a pleasure to grade this!,8,156,162
12,2020-07-22 02:32:09,Keep up the incredible work!,10,119,90
13,2024-03-16 20:39:16,"My goodness, how impressive!",10,108,87
14,2020-02-12 03:34:00,You're showing inventive ideas!,8,20,77
15,2020-04-19 10:18:53,You've shown so much growth!,2,6,17
16,2021-10-25 11:38:48,Interesting thoughts!,5,14,199
17,2022-10-29 16:31:59,I love your neat work!,7,240,155
18,2021-04-24 13:21:15,Doesn't it feel good to do such great work?,6,227,134
19,2020-10-02 12:27:03,First-rate work!,1,245,203
20,2022-10-25 05:16:44,This is fascinating information!,4,176,39
21,2022-06-03 21:39:14,You inspire me!,0,229,113
22,2022-10-10 00:00:31,This is right on target!,5,9,113
23,2022-12-12 03:10:18,What an astounding observation!,1,33,155
24,2020-02-13 16:18:07,This is very well thought out!,1,121,169
25,2024-05-15 08:23:22,I can tell you've been practicing!,9,247,160
26,2021-02-15 07:22:41,You've come a long way!,7,79,59
27,2023-11-24 22:46:33,I can tell you've been paying attention!,9,55,57
28,2020-12-25 14:21:33,Reading this made my day!,8,209,177
29,2020-12-08 13:56:46,This is very perceptive!,2,31,168
30,2021-02-07 11:26:54,What an accomplishment!,8,126,89
31,2024-06-19 11:56:09,You make a great point here!,9,105,83
32,2024-08-02 10:06:18,I really like your creativity!,6,150,94
33,2023-02-01 21:45:40,You are an exceptional student!,7,77,171
34,2023-12-17 03:28:04,You have brilliant thoughts!,7,112,115
35,2020-05-03 00:17:04,This is beautiful!,7,86,83
36,2024-07-03 00:46:39,Dazzling examples!,9,220,174
37,2023-05-12 13:16:16,Vivid language choices!,5,47,12
38,2022-08-20 22:44:58,You express your ideas so well!,3,193,189
39,2022-12-13 09:44:01,This was a delight to read!,7,146,196
40,2023-05-28 08:29:09,This is a persuasive argument!,3,79,157
41,2023-08-10 04:59:37,You show an impressive grasp on this subject!,3,91,116
42,2022-09-17 22:46:07,You are gifted!,3,213,83
